the los
for durante
for para
for por
that que
with con
was fue
are are
are están
are son
from desde
you usted
you ustedes
have han
which que
which which
but pero
but sino
their sus
were fueron
can puede
can pueden
one uno
also también
had había
had tenido
more más
new nueva
new nuevas
new nuevo
new nuevos
other otras
other otros
its its
its sti
its sus
when cuando
first primer
first primera
out fuera
time momento
time tiempo
some algunas
some algunos
may mayo
may puede
may pueden
our nuestra
our nuestras
our nuestro
our nuestros
two dos
these estas
these estos
people personas
people pueblo
only solo
only sólo
after después
after tras
any cualquier
she she
than than
work trabajo
then entonces
then luego
information información
where donde
years años
now ahora
now now
year año
should debe
should debería
should deberían
well bien
how cómo
very muy
through mediante
between entre
world mundial
world mundo
just just
just justo
just solo
just sólo
could podría
could podrían
see sede
see ver
see véase
part parte
school escolar
school escuela
before antes
during durante
make hacer
under bajo
those aquellos
each cada
day día
good buen
good buena
good buenas
university universidad
university universitaria
university universitarios
number número
number serie
said dicho
said said
three tres
service exterior
service servicio
service servicios
local local
local locales
including incluida
group grupo
because porque
national nacional
national nacionales
much mucho
area espacio
area zona
area ámbito
research investigación
need necesidad
life life
life vida
within dentro
here aquí
home casa
even incluso
while aunque
while mientras
available disponible
available disponibles
available disposición
available técnicas
own propia
own propias
own propio
own propios
last última
last último
last últimos
support apoyar
support apoyo
services servicios
city city
city ciudad
development desarrollo
public pública
public públicas
public público
public públicos
public salud
system sistema
same misma
same mismo
place lugar
place place
high alta
high alto
company compañía
company empresa
company sociedad
site sitio
business business
london londres
must debe
must deben
government gobierno
great gran
great grandes
help ayuda
help ayudar
help help
still aún
still todavía
best best
best mejor
best mejores
following después
following siguientes
following tras
since desde
since puesto
name nombre
team equipo
down down
health pública
health salud
end fin
end final
house asamblea
house casa
house cámara
house domiciliario
state estado
another otra
another otro
second segunda
second segundo
right derecha
right derecho
members diputados
different diferente
different diferentes
different distintos
found encontrado
know sabe
know saben
know saber
students estudiantes
find encontrar
family familia
family familiar
family familiares
order fin
order orden
known conocido
long largo
long long
small pequeñas
small pequeños
small small
council consejo
history historia
working trabajo
general general
general generales
until hasta
form forma
south meridional
south sur
full plena
full pleno
next próxima
next próximo
war guerra
international internacional
international internacionales
every cada
book libro
project proyecto
community comunidad
community comunitaria
community comunitario
john john
john juan
free libre
north norte
based basada
based basado
based based
old antiguos
old viejo
education educación
centre centro
without sin
british británica
british británico
british británicos
provide proporcionar
given dada
given dado
although aunque
include incluir
large gran
large grandes
large numerosas
several varias
several varios
case asunto
case caso
few pocos
four cuatro
states estados
road camino
data datos
too demasiado
little poco
show demostrar
show feria
show mostrar
show show
important importante
important importantes
contact contacto
left izquierda
left nórdica
management gestión
series serie
training formación
water agua
age age
age edad
line line
line línea
social social
social sociales
range gama
main meno
main principal
main principales
come llegado
want quieren
page página
report informe
level escala
level nivel
west occidental
west oeste
staff personal
film cine
film cinematográfica
film película
times ocasiones
times tiempos
times times
times veces
town ciudad
member miembro
member miembros
access acceso
example ejemplo
american estadounidense
young joven
young jóvenes
young young
major grandes
major major
give dar
open abierta
open abierto
open open
point punto
having haber
office oficina
country país
man hombre
man man
able capaz
party partido
possible posible
possible posibles
church iglesia
areas zonas
areas ámbitos
areas áreas
never nunca
together junto
together juntos
details detalles
law derecho
law ley
power poder
power power
march marzo
building construcción
building edificio
june junio
college colegio
learning aprendizaje
design design
design diseño
east este
east oriente
put haz
put poned
news news
news noticia
news noticias
once pimienta
process proceso
list junio
list lista
along junto
say decir
control control
born nacido
born nacidos
study estudio
study study
care asistencia
care care
care cuidado
england inglaterra
making hacer
programme programa
county condado
county condados
september septiembre
play desempeñar
play elche
though pesar
july julio
always siempre
days días
took tuvo
english inglesa
english inglés
web web
act act
act acto
act actuar
act ley
act tca
society sociedad
society society
really realmente
week semana
due debido
view opinión
view view
view vista
published publicado
published publicó
better mejor
better mejorar
special especial
special especiales
issues cuestiones
issues temas
today hoy
less menos
policy política
side lado
side side
god dios
october octubre
quality calidad
section sección
seen visto
department departamento
season temporada
others otros
read leer
read leído
read read
period periodo
period período
five cinco
single única
single único
park parque
things cosas
date fecha
online online
action acción
women mujer
women mujeres
century siglo
subject asunto
subject tema
far extremo
far far
far lejano
street calle
street street
population población
head cabeza
head jefe
practice práctica
practice prácticas
key clave
live live
live vivas
live viven
live vivir
means medios
means significa
start comenzar
start empezar
start start
january enero
market mercado
systems sistemas
systems systems
car caf
car coche
present actual
present presente
money dinero
needs necesidades
needs necesita
human human
human humana
human humano
human humanos
band banda
men hombres
groups grupos
album álbum
november noviembre
something algo
played desempeñado
currently actualmente
problems problemas
interest interés
station estación
land land
land tierra
land tierras
august agosto
august augusta
august augusto
schools escuelas
personal personal
personal personales
european europea
european europeo
court tribunal
review revisar
review revisión
death muerte
death pena
food alimentaria
food alimentos
art art
art arte
final final
final última
fact hecho
language idioma
language language
language lengua
language lenguaje
love amor
body cuerpo
body organismo
body órgano
third tercer
third tercera
third terceros
events acontecimientos
events sucesos
various diferentes
various distintos
various diversas
various diversos
particular especial
particular particular
built construido
common comunes
common común
air air
air aire
air aérea
air aéreo
short breve
short corto
short short
offer oferta
offer ofrecer
meeting reunión
real auténtico
real real
real reales
works empresa
works funciona
works obras
