vaiheen phase
tehnyt made
margaret margaret
veljet brothers
jumala god
unkarin hungary
valmistaja manufacturer
voimaa strength
frank frank
rakkautta love
tyypillinen typical
kantoja positions
rahasto fund
itävalta austria
sähkön electricity
sairaalaan hospital
howardin howard
language language
laulaa singing
direct direct
oikeudellisen legal
kulttuureja cultures
säkkiä bags
näkyviä visible
yorkshiren yorkshire
järjestelyjä arrangements
vaikuttavia impressive
olettaa assume
premier premier
pyysi asked
saarnata lecture
yhteisiä common
koulutuksen training
sukupolvi generation
muutoksia changes
pesemään washing
tarjoaa provides
kliinisiä clinical
hyväksyttävää acceptable
taiteen art
määräaikaa deadline
läpi through
onnettomuus accident
säteily radiation
asiakirjoja documents
yhteisöt communities
kapteeni captain
järjestäytyneen organised
vapaus liberty
rukouksen prayer
tarjota offer
suuntaus trend
ymp cap
teatteri theatre
akustiset acoustic
walls walls
historiallinen historical
sairaala hospital
rakennusten buildings
maksuja payments
lakimies lawyer
camp camp
juustoa cheese
televisio television
vesilintujen habitat
ylpeä proud
komentaja commander
luonnollista natural
vaatimuksia requirements
jan jan
ihon skin
edustus representation
asiantuntijoiden experts
lainataan quotes
verotuksen tax
kiinan china
pysäköinti parking
defence defense
neuvottelut negotiations
keskeisiä key
table table
oikeudenmukaisesti fairly
filosofinen philosophical
hetkellä present
auta help
sokeita blind
sopivia suitable
asioihin affairs
virastojen agencies
juutalaisten jews
kaikkialla everywhere
kallis expensive
tiukkoja strict
syksyllä autumn
lämmitys heating
yorkshire yorkshire
baby baby
paneelin panel
kokeellisen experimental
oxford oxford
vihreä green
päällä ground
sanoi said
vapauden freedom
profiilin profile
tuomari judge
vaaleanpunaisen pink
huippukokous summit
vahvisti confirmed
elokuvia films
versioissa versions
lajien species
omena apple
tavoitteita targets
huolellisesti carefully
aivojen brain
seurannut followed
epäonnistunut failed
vientiä export
talousarviosta budget
metro metro
khanin khan
linuxin linux
pakistan pakistan
tarinan story
evankeliumi gospel
henkisen mental
vuorovaikutus interaction
sillalla bridge
kirjaston library
katolisen catholic
kustannukset cost
arvioita estimates
tuotteen product
näytteiden samples
joustavuutta flexibility
skotit scots
elossa alive
prosessi process
suulliset oral
väkivaltaisten violent
tuomion judgment
yli over
yorkin york
packin pack
together together
kumppanien partners
siipi wing
menot expenditure
poikkeuksellisia exceptional
pennsylvaniassa pennsylvania
viestiä messages
valitettavasti unfortunately
kirjailijan writer
muinaisten ancient
tyttärensä daughter
elizabeth elizabeth
kirjallisuuden literature
suunnitelman plan
myöntää grants
kalaa fish
koskaan never
tiedossa known
jack jack
suhteellista relative
runon poem
maiseman landscape
konservatiivinen conservative
hinnan price
wide wide
maanviljelijöiden farmers
jäsenyys membership
syrjään aside
eliitti elite
tupakointi smoking
koteja homes
sallittua permitted
death death
rakentamisen construction
monin mon
miekalla sword
myös also
tehokkaita efficient
leader leader
parempi better
kirkon church
open open
israel israel
kartoittavat chart
cars cars
newton newton
jne etc
vietnam vietnam
vallankumouksellinen revolutionary
islamilaisen islamic
side side
eettisten ethical
kirjanpidon accounting
alankomaiden dutch
rakenteita structures
kustantajien publishers
yksityisen private
opposition opposition
varoja funds
perjantaina friday
verkossa online
yksityisyyden privacy
owen owen
todistajien witnesses
aviomiehen husband
yhteisön community
trooppisen tropical
county county
yksityiskohtaisia detailed
vuoropuhelun dialogue
aid aid
riippumattomasti independently
jacksonia jackson
munia eggs
googlen google
tarjoaja provider
tuottaja producer
asteittain gradually
historialliset historical
muisti memory
järjestöjen organisations
bush bush
sääntöjä rules
sairaanhoitajat nurses
saksa germany
radikaaleja radical
konsertin concerts
meksikon mexico
viranomaiset authorities
tunnustettava recognise
maksan liver
teorioita theories
kustantajan publisher
luottamusta trust
syöpä cancer
liikkuvuuden mobility
elämään lives
neljättä fourth
simon simon
pyhiä holy
yksi one
kattaa cover
tanska danish
harry harry
aikaa time
altistuminen exposure
muotokuva portrait
elin body
useimmissa most
myrsky storm
maahanmuuton immigration
yhtenäisyyttä unity
parhaat best
watch watch
paremmin better
jumalallisen divine
vaimonsa wife
lämpötilan temperature
varovaisia careful
markkinoiden market
mielipiteet opinions
putkesta pipe
tietokantoja databases
paksun thick
las las
suuntaan direction
