storage lagerung
invasion invasion
original ursprünglichen
yellow gelben
efficient efficient
digital digitalen
lowest kleinsten
novel neuartige
rescue rettung
prior prior
infrastructure infrastruktur
guys guys
legal juristischen
tutor vormund
met erfüllt
national nationaler
weak schwachen
effective wirksame
security sicherheit
celebrate feiern
visual visuellen
century jahrhundert
advantages vorteile
layer schicht
carers pflegekräfte
maintenance aufrechterhaltung
difficult schwierigen
motor motor
influential einflussreicher
internet internet
ultimately letztlich
naval naval
soon bald
entire gesamten
dark dunkle
special special
travel reisen
popular popular
producers produzenten
despite trotz
markets märkten
treatments behandlungsmethoden
rear hintere
region region
isle isle
circle kreis
chancellor bundeskanzlerin
battle schlacht
record record
technology technik
adult adulten
begin beginnen
circle kreises
instructions anweisungen
competitive wettbewerbsfähige
grey grey
football football
problems probleme
gay gay
wrong falsch
regulations vorschriften
impressive beeindruckenden
poetry poesie
built gebaut
curriculum lehrplan
good guten
signals signale
sweet süß
carefully aufmerksam
flexible flexibel
rose rose
battle battle
armed bewaffneten
post post
typical typische
captain kapitän
bishop bischof
heating heizung
championship meisterschaft
regulation verordnung
review review
organic ausführungsgesetz
academy academy
emissions emissionen
normal normale
seven sieben
evening abend
hold hold
progress progress
race wettlauf
flying fliegen
per pro
choose wählen
canada kanada
progressive progressiven
wrong falsche
session sitzungsperiode
rome rom
institute instituts
alive lebendig
attractive attraktiv
retail einzelhandel
eggs eier
visit besuchen
brief kurzen
paintings gemälde
important wichtigen
increasingly zunehmend
wait warten
henry henry
roots wurzeln
card card
jews juden
side seite
great große
worldwide weltweit
regions regionen
care versorgung
successful erfolgreichen
recommend empfehlen
characteristics eigenschaften
information informationen
scenes szenen
dutch niederländische
tested getestet
readers lesern
august august
jersey jersey
selling verkaufen
payment zahlung
intelligent intelligenten
greatest größten
horses pferden
proportion anteil
relative relativen
paid gezahlt
back zurück
saint saint
codes kodizes
your ihre
noise lärm
competition wettbewerbs
clean sauberen
players akteuren
statistical statistischer
limit begrenzen
opens öffnet
anthony anthony
mike mike
accessible zugänglich
remained geblieben
says sagt
improve verbessern
vehicles fahrzeuge
real echte
house hauses
fifth fünftel
rome römischen
adults erwachsenen
inspection inspektion
heat hitze
give geben
blind blinden
bear tragen
agreement vereinbarung
civil bürgerliche
supporters befürworter
jonathan jonathan
scientific wissenschaftlichen
fire brand
study studie
battery batterie
aid beihilfen
location standort
milk milk
ethical ethische
cruise kreuzfahrt
exists existiert
dan dan
investors investoren
their ihrer
graduated abgestuften
expression meinungsäußerung
educated ausgebildet
loved geliebt
management bewirtschaftung
equipment ausrüstungen
spread verbreitung
contracts verträge
installation einbau
good good
inhabitants einwohnern
science science
rice reis
driving patente
targets ziele
miss vermissen
generally allgemein
district bezirk
photographs fotos
revolutionary revolutionären
rather eher
original ursprüngliche
pennsylvania pennsylvania
boy jungen
logo logo
project project
can kann
ring ring
competitive wettbewerbsfähig
log protokollieren
taken ergriffen
popularity popularität
microsoft microsoft
set set
artist künstlers
mass masse
office amt
end end
discrimination diskriminierung
awareness bewusstsein
parliament parlament
revised überarbeitet
parliamentary parlamentarischen
water water
divided gespalten
false falsche
fruit früchte
midlands west
twenty zwanzig
extent maße
user user
hot heiße
pictures bilder
hills hügel
codes verhaltenskodizes
millennium jahrtausends
apple apple
biological biologische
later später
chosen gewählt
its seine
principle grundsatz
originally ursprünglich
days tage
eyes augen
destroyed zerstört
heat wärme
visited besuchte
independent unabhängige
journal zeitschrift
facilities anlagen
banking banking
structural strukturelle
thomas thomas
metropolitan großstädtischen
white weißen
davies davies
decisions beschlüsse
regulatory ordnungspolitischen
administrator administrator
legacy vermächtnis
local lokale
list liste
matter angelegenheit
rising steigenden
photographs fotografien
age alter
federal föderale
investment investment
informal informelle
classic klassische
capital kapitals
equality gleichstellung
engineering gentechnik
parliament parlaments
prison gefängnis
accounting accounting
operators operators
critics kritikern
talks gespräche
candidates kandidaten
society society
collection erhebung
rail rail
owner besitzer
boards boards
centuries jahrhunderte
began begann
monitor überwachen
tunnel tunnel
centuries jahrhunderten
open offene
profile profil
stadium stadion
texts texte
publishers verleger
vision vision
intelligence intelligence
wings flügel
completely völlig
animal artgerechte
convinced überzeugt
change ändern
bread brot
angel angel
films filme
number reihe
industries industries
meat fleisch
low low
space raum
broadcasting broadcasting
tourism tourismus
accuracy genauigkeit
christian christlichen
pacific pazifischen
muslims muslimen
documents dokumenten
format format
element element
instead stattdessen
administrative administrativen
ban verbieten
communication mitteilung
solution lösung
informed informed
baby baby
exchange exchange
learners lernenden
virus virus
conclusion abschluss
rooms zimmern
testament testament
subject thema
pocket tasche
guardian guardian
stones steinen
pupils schüler
head kopf
extension verlängerung
interests interesse
emotional emotionalen
born geboren
gas gas
citizens bürger
island insel
removed gestrichen
resources resources
volumes bände
believes glaubt
heavy schwere
saint heiligen
debt schulden
decide entscheiden
shown gezeigt
advice beratung
additional zusätzlichen
formal formalen
japanese japanischen
lake lake
archives archive
over über
prepared vorbereitet
wild wildlebenden
modern modernen
achieved erreicht
experts experten
cent cent
seeds saatgut
extended ausgeweitet
inclusion eingliederung
library nationalbibliothek
journalist journalist
guidelines leitlinien
injured verletzten
holiday urlaub
accident unfalls
enable ermöglichen
forthcoming bevorstehenden
innovation innovation
categories kategorien
tom tom
public öffentlichkeit
movement freizügigkeit
massive massiven
departments dienststellen
easier leichter
former ehemalige
easy leicht
factor faktor
jersey trikots
sustainable nachhaltigen
temporary vorübergehenden
coal kohle
said said
dramatic dramatisch
liquid flüssigen
victims opfer
hosts gastgeber
school schule
communist kommunistische
events ereignisse
flower flower
standards standards
last vergangenen
board board
update aktualisieren
blocks blöcke
seek suchen
greatest größte
legend legende
version version
pollution umweltverschmutzung
legislation gesetzgebung
commercial kommerzielle
executive exekutive
category rubrik
project projekts
managers verwalter
thousands tausenden
diabetes diabetes
empire imperium
underground unterirdischen
details einzelheiten
dynamic dynamische
stories geschichten
ongoing laufenden
cheap billigen
relationship beziehungen
russian russische
done geleistet
provisions bestimmungen
chapter kapitel
canadian kanadische
fitness fitness
these dieser
trips trips
applied angewandt
convention konvention
opinions meinungen
actors akteuren
planning planung
from aus
play spielen
company unternehmens
networks netzwerke
adults erwachsene
potentially potenziell
elections wahlen
fought gekämpft
scope anwendungsbereich
state staates
existence existenz
north norden
millennium millennium
latin lateinische
progress fortschritte
fox fuchs
cross kreuzes
abstract abstrakten
interactive interaktiven
charity wohltätigkeit
beautiful schönen
lawrence lawrence
chicago chicago
proof beweis
developed entwickelt
decade jahrzehnts
annual jährlichen
day tages
framework rahmen
premises räumlichkeiten
details details
excellence exzellenz
leicester leicester
reported berichtet
management verwaltung
jean jean
background hintergrund
numerous zahlreiche
game spiel
almost nahezu
national national
definitely definitiv
laboratory labor
red rote
sources energiequellen
strike streik
studio studio
canal kanals
ideal ideal
never nie
singapore singapur
rapid rasche
suffering leiden
approach ansatz
sector sektors
early frühen
navigation satellitennavigation
remote abgelegenen
talk sprechen
cultures kulturen
legal rechtlichen
tickets tickets
alliance allianz
financial finanziellen
tower turm
elderly ältere
second zweiten
feet füßen
spread ausbreitung
longer länger
leeds leeds
see stuhl
sufficient ausreichend
profit profit
rural ländlichen
club club
americans amerikanern
studies studien
necessarily zwangsläufig
fact tatsache
revised geändertes
storage speicherung
ancient antiken
simple einfachen
white weiß
economic wirtschaftlichen
double double
accompanied begleitet
police police
mechanical mechanische
exposure exposition
links verbindungen
street street
points punkte
hopefully hoffentlich
maria maria
character charakter
immediately unmittelbar
heard gehört
acquisition erwerb
soviet sowjetische
elements elemente
broadcasting rundfunk
bob bob
bedroom schlafzimmer
low niedrig
games spielen
president präsident
presented vorgelegt
councillor stadtrat
reflects spiegelt
image bild
qualifications qualifikation
authorities behörden
ford ford
chemical chemical
options optionen
library bibliothek
while während
inspiration inspiration
firms firmen
reduction verringerung
sequence abfolge
treaty vertrag
variables variablen
price preis
assistant assistent
gradually allmählich
shape shape
wheel rad
wars wars
catch catch
western westlichen
special besondere
dangerous gefährlich
ten zehn
supreme oberste
rights rechte
john john
communicate kommunizieren
hopes hoffnungen
impossible impossible
death tode
front front
performances darbietungen
customs zoll
often häufig
commonwealth commonwealth
bishop monsignore
smart intelligentes
career karriere
iron eiserne
aid hilfe
supports unterstützt
expertise fachwissen
rights menschenrechte
terrorism terrorismus
light light
project projekt
religion religion
grace grace
female weiblichen
previous vorangegangenen
balance gleichgewicht
sister schwester
careful vorsichtig
destruction vernichtung
mail post
korea korea
depend abhängen
compete konkurrieren
greece griechenland
speed geschwindigkeit
more mehr
country landes
children children
building building
enemy feind
conservative konservative
worth wert
want wollen
charter charta
assessment assessment
nothing nichts
detail detail
remove beseitigen
reports ausführlicher
natural natural
about über
conclusions schlussfolgerungen
tribunal tribunal
editorial redaktionelle
mystery mysterium
complaints beschwerden
variable variabler
departments départements
couples paare
virgin virgin
implementation implementation
winner sieger
testament testaments
data data
commons allmende
volume volumen
answers antworten
imperial imperiale
standards normen
expedition expedition
doctor arzt
grow wachsen
secret geheimnis
creative kreativen
refused verweigert
lesson lehre
bone knochen
protest protest
documentary dokumentarfilm
separated getrennt
picture bild
graduates absolventen
experiments experimente
money geld
arguments argumenten
public öffentliche
internet internets
fill füllen
recognise erkennen
unfortunately leider
density dichte
corner ecke
error fehler
download herunterladen
absence abwesenheit
controls kontrollen
reverse fakultative
diet ernährungsweise
effectively wirksam
gift geschenk
statistics statistik
russell russell
volunteers freiwilligen
drinking trinken
childhood kindheit
both beide
defense defense
responses reaktionen
help hilfe
table tisch
cards karten
control kontrolle
brilliant brillanten
saint heiliger
reputation ruf
socialist sozialistischen
still noch
premises prämissen
sun sonne
appeal appellieren
practitioners praktiker
guarantee gewährleisten
spain spanien
infrastructure infrastrukturen
distinction unterschied
apply gelten
feed futtermitteln
printed gedruckt
classes klassen
charities wohltätigkeitsorganisationen
interactive interaktive
signs anzeichen
gardens gärten
damage schäden
bad schlechten
welsh walisischen
instead statt
immediately sofort
characteristics merkmale
equipment equipment
medicine medizin
hero held
real real
negotiations verhandlungen
military militärische
responsibility verantwortung
organised organisierten
controversy kontroverse
stone stein
headquarters headquarters
photo foto
must müssen
now nun
president präsidentin
unique einzigartigen
healthy gesundes
austria österreich
years jahren
specific konkrete
bay bucht
sue verklagen
instance instanz
mechanisms mechanismen
expensive teure
chairman vorsitzenden
patients patienten
professional berufliche
day tag
discussed erörtert
less weniger
manufacturers hersteller
mix mischung
many viele
daniel daniel
examine prüfen
rugby rugby
initially ursprünglich
crossing überschreiten
memories erinnerungen
weight gewicht
lords lords
everyday täglichen
dark dunklen
estimated geschätzt
headquarters sitz
accommodation unterkunft
commander befehlshaber
driver fahrer
attitude haltung
low niedrigen
reform demokratischen
animals tiere
gene gen
biography biografien
save rettet
mar mar
replies antworten
major großen
bars bars
used verwendet
holidays ferien
window fenster
journey reise
protein eiweiß
target target
landing landung
weak schwach
bag sack
somewhere irgendwo
false falschen
hope hoffe
smart intelligente
phrase satz
consequence folge
breeding zucht
ministry ministeriums
agreement abkommens
global globale
ann ann
relationship beziehung
provides bietet
democratic demokratischen
emergency emergency
