los the
durante for
para for
por for
que that
con with
fue was
are are
están are
son are
desde from
usted you
ustedes you
han have
que which
which which
pero but
sino but
sus their
fueron were
puede can
pueden can
uno one
también also
había had
tenido had
más more
nueva new
nuevas new
nuevo new
nuevos new
otras other
otros other
its its
sti its
sus its
cuando when
primer first
primera first
fuera out
momento time
tiempo time
algunas some
algunos some
mayo may
puede may
pueden may
nuestra our
nuestras our
nuestro our
nuestros our
dos two
estas these
estos these
personas people
pueblo people
solo only
sólo only
después after
tras after
cualquier any
she she
than than
trabajo work
entonces then
luego then
información information
donde where
años years
ahora now
now now
año year
debe should
debería should
deberían should
bien well
cómo how
muy very
mediante through
entre between
mundial world
mundo world
just just
justo just
solo just
sólo just
podría could
podrían could
sede see
ver see
véase see
parte part
escolar school
escuela school
antes before
durante during
hacer make
bajo under
aquellos those
cada each
día day
buen good
buena good
buenas good
universidad university
universitaria university
universitarios university
número number
serie number
dicho said
said said
tres three
exterior service
servicio service
servicios service
local local
locales local
incluida including
grupo group
porque because
nacional national
nacionales national
mucho much
espacio area
zona area
ámbito area
investigación research
necesidad need
life life
vida life
dentro within
aquí here
casa home
incluso even
aunque while
mientras while
disponible available
disponibles available
disposición available
técnicas available
propia own
propias own
propio own
propios own
última last
último last
últimos last
apoyar support
apoyo support
servicios services
city city
ciudad city
desarrollo development
pública public
públicas public
público public
públicos public
salud public
sistema system
misma same
mismo same
lugar place
place place
alta high
alto high
compañía company
empresa company
sociedad company
sitio site
business business
londres london
debe must
deben must
gobierno government
gran great
grandes great
ayuda help
ayudar help
help help
aún still
todavía still
best best
mejor best
mejores best
después following
siguientes following
tras following
desde since
puesto since
nombre name
equipo team
down down
pública health
salud health
fin end
final end
asamblea house
casa house
cámara house
domiciliario house
estado state
otra another
otro another
segunda second
segundo second
derecha right
derecho right
diputados members
diferente different
diferentes different
distintos different
encontrado found
sabe know
saben know
saber know
estudiantes students
encontrar find
familia family
familiar family
familiares family
fin order
orden order
conocido known
largo long
long long
pequeñas small
pequeños small
small small
consejo council
historia history
trabajo working
general general
generales general
hasta until
forma form
meridional south
sur south
plena full
pleno full
próxima next
próximo next
guerra war
internacional international
internacionales international
cada every
libro book
proyecto project
comunidad community
comunitaria community
comunitario community
john john
juan john
libre free
norte north
basada based
basado based
based based
antiguos old
viejo old
educación education
centro centre
sin without
británica british
británico british
británicos british
proporcionar provide
dada given
dado given
aunque although
incluir include
gran large
grandes large
numerosas large
varias several
varios several
asunto case
caso case
pocos few
cuatro four
estados states
camino road
datos data
demasiado too
poco little
