ugandan uganda
elf elfo
octopus polpo
hannibal hanibalo
compute komputi
withstand rezisti
naive naiva
vase vazo
azores acoroj
bulb bulbo
bulb ampolo
ode odo
aqueduct akvedukto
rubbish rubo
rubbish ruboj
dim malluma
dim krepuska
dim nebuligi
bazaar bazaro
trieste triesto
magdalena magdaleno
mist nebulo
amend amendi
lure logi
diversion distro
diversion distrado
gunner artileriano
obey obei
prism prismo
octagonal okangula
sorrow malgajeco
gunpowder pulvo
babylonian babilona
siam tajlando
siam siamo
daphne dafno
scent odoro
stature staturo
compile kompili
candle kandelo
parcel parcelo
parcel paketo
godfather baptopatro
cuckoo kukolo
breeze brizo
breeze venteto
madeira madejro
frankish franka
congenital denaska
tolerate toleri
menace minaco
menace minaci
shrew megero
greyhound leporhundo
galician galica
kilometer kilometro
czar caro
ape simio
magnesium magnezio
athena ateno
privileged privilegia
acquaintance konateco
acquaintance konato
socket ingo
impress impresi
impress imponi
despair malespero
despair malesperi
undermine subfosi
trustworthy fidinda
erroneous erara
guatemalan gvatemala
paddle padelo
hostel gastejo
sticky glueca
mallorca majorko
motel motelo
psalm psalmo
cactus kakto
mule mulo
serum sero
serum serumo
kindness afableco
tempest tempesto
upstairs supre
sincere sincera
awake maldorma
admiration admiro
multiply multipliki
multiply multobligi
untrue malvera
untrue nevera
brace krampo
brace armaturo
brace stajo
equator ekvatoro
vulcan vulkano
sibling gefrato
poisonous venena
accompaniment akompano
accompaniment akompanado
trajectory trajektorio
anarchy anarkio
calculator kalkulilo
heraldry heraldiko
coyote kojoto
omnibus buso
omnibus omnibuso
drastic drasta
laughter ridado
abstraction ekstraktado
abstraction forrabo
volta voltao
malacca malako
titanium titanio
accelerate akceli
accelerate plirapidigi
accelerate plifruigi
mustard mustardo
flock grego
trillion triliono
descend malsupreniri
descend descendi
thoughtful meditema
mediate mediacii
radically radikale
litter portilo
stimulate instigi
stimulate stimuli
stimulate vigligi
stimulate inciti
stimulate sproni
stimulate plivigligi
humane humana
eel angilo
abandonment forlaso
abandonment cedo
abandonment natureco
abandonment dezerteco
elastic elasta
crook fripono
temptation tento
turk turko
aden adeno
mesopotamia mezopotamio
overture uverturo
overture preludo
woodpecker pego
endeavour klopodi
endeavour peni
partridge perdriko
indictment kulpigo
oven forno
oven bakforno
temperament temperamento
charcoal lignokarbo
lesotho lesoto
salad salato
messina mesino
indus induso
applicant petanto
riddle enigmo
apocalyptic apokalipsa
foliage foliaro
inexpensive malmultekosta
inexpensive malkara
glow ardo
telegram telegramo
criticize kritiki
sportsman sportisto
lace punto
arrogant aroganta
arrogant pretendema
arrogant malmodesta
arrogant aroga
swaziland svazilando
calabria kalabrio
boo hu
nightingale najtingalo
cellar kelo
avail utili
occult okulta
picturesque pitoreska
achilles akilo
stir vigleco
stir kirli
spoon kulero
spoon kulerego
magyar madjaro
helix helico
grill krado
cautious singarda
cautious singardema
evacuate evakui
imperialism imperiismo
imperialism imperialismo
atheism ateismo
worthless senvalora
shamrock trifolio
inference konkludo
peat torfo
rendezvous rendevuo
berber berbero
intermittent intermita
rumor famo
rumor onidiro
jehovah jehovo
penelope penelopo
microscope mikroskopo
forehead frunto
gnome gnomo
instinct instinkto
pulpit katedro
viper vipuro
foolish stulta
penetrate penetri
hermit ermito
pavement trotuaro
pavement pavimo
registrar registristo
ayr ajro
tailor tajloro
tailor tajlorino
tailor tajlori
nocturnal nokta
unilateral unuflanka
trough trogo
limburg limburgo
lid kovrilo
tendentious tendenca
barbarian barbaro
familiarity konateco
polynesia polinezio
clover trifolio
couch divano
couch kanapo
rubble rubo
confess konfesi
athenian atena
athenian atenano
paranoid paranoja
risky riska
borrow prunti
borrow pruntepreni
catastrophic katastrofa
mango mango
oder odro
arbitrarily arbitre
maestro majstro
pill pilolo
fjord fjordo
folder kajero
folder dosierujo
poppy papavo
poppy papaveto
dakar dakaro
slug limako
anatomical anatomia
faint malforta
faint sveno
faint sveni
insulation izolado
aromatic aroma
misery mizero
explode eksplodi
breakaway secesio
sporadic sporada
smallpox variolo
lust pasio
lust volupto
gratitude danko
gratitude dankemo
enigma enigmo
insanity frenezo
insanity frenezeco
whisky viskio
eocene eoceno
parisian pariza
parisian parizano
bodily korpa
alcoholism alkoholismo
distracted distrita
furnished meblita
optimistic optimisma
ligament ligamento
presumption pretendo
presumption aroganteco
presumption pretendemo
persist persisti
utopia utopio
dentist dentisto
corsica korsiko
corsica korsikio
skirt jupo
inorganic neorganika
phosphorus fosforo
accelerator akcelilo
kettle kaldrono
unicorn unukornulo
javanese java
heresy herezo
enjoyable agrabla
gigantic giganta
hornet ojstro
jura juro
laborers laboristoj
yemeni jemena
mummy mumio
violently perforte
violently violente
characterize karakterizi
transliteration transskribo
pronounce prononci
pronounce elparoli
berliner berlinano
polynesian polinezia
tuna tinuso
abstain abstini
abstain sindeteni
resin rezino
andalusia andaluzio
andalusia andaluzujo
braille brajlo
braille brajlo
commence komenci
archduke arkiduko
bandit bandito
circumstance cirkonstanco
necklace koliero
liter litro
sewer kloako
vanilla vanilo
calf bovido
calf suro
heap amaso
heap stako
heap amasigi
heap akumuli
coarse malglata
coarse maldelikata
coarse maleleganta
cigar cigaro
bless beni
rudder direktilo
rudder rudro
deserving inda
blindness blindeco
embankment digo
absorbing fascina
absorbing interesega
anxious maltrankvila
anxious maltrankviliga
anxious sopiranta
cocoa kakao
rebellious ribelema
cassandra kasandro
ammonia amoniako
ammonia amonio
vulture vulturo
vulture kadavrogrifo
peking pekino
steer direkti
steer stiri
impartial senpartia
pious pia
moravia moravio
notebook kajero
notebook notlibro
himalayas himalajoj
inhibit malhelpi
inhibit malebligi
raft floso
boon beno
zodiac zodiako
goodness boneco
transvaal transvalo
bra mamzono
comfortably agrable
cock virkoko
cock kaco
accessory akcesora
accessory komplico
accessory aneksa
adorned ornamita
continual konstanta
greeting saluto
greeting salutado
greeting bonvenigo
lame lama
hermes hermeso
slap vangofrapo
trousers pantalono
orthography ortografio
outset eko
majestic majesta
spelt spelto
bastard bastardo
bastard bastarda
fascinated fascinita
cracked krevinta
entertain gastigi
entertain distri
entertain regali
afrikaans afrikansa
brandy brando
brandy konjako
ratification ratifo
chunk bulo
cipher cifero
tatar tatara
frivolous vanta
frivolous frivola
angolan angola
quadrangle kvarangulo
simplify simpligi
reunite reunuigi
beautifully bele
labourers laboristoj
assimilation asimilado
assimilation asimilo
etiquette etiketo
swiftly rapide
peanut arakido
heroism heroeco
noisy brua
ozone ozono
excessively ekscese
schism skismo
axiom aksiomo
thrush turdo
pinnacle montsupro
bladder veziko
fearless sentima
pandora pandoro
periphery periferio
climatic klimata
flavour aromo
flavour gustigi
bumper bufro
dusk krepusko
dusk duonlumo
commonplace banala
commonplace triviala
brink rando
glide gliti
glide glisi
gall galo
gall gajlo
garlic ajlo
counterfeit imitita
antelope antilopo
reciprocal reciproka
grind mueli
distraction distro
distraction distrado
elemental elementa
transistor transistoro
sizable konsiderinda
barren malfekunda
barren senfrukta
barren nefruktodona
hydra hidro
revise revizii
sentimental sentimenta
pedigree genealogio
hepatitis hepatito
advertiser anoncanto
zebra zebro
nudity nudeco
olympus olimpo
beak beko
hurry rapidi
dorian dorika
accumulate akumuli
childish infana
childish infaneca
carp karpo
perm permo
caller vizitanto
lark alauxdo
anticipate anticipi
robe robo
intellect intelekto
sarcastic sarkasma
antibody antikorpo
asthma astmo
horde hordo
swarm svarmo
dizzy kapturna
expire morti
cinnamon cinamo
myriad miriado
parochial paroka
funnel funelo
parity pareco
cheat trompi
cheat fripono
cheat trompanto
epilepsy epilepsio
sly ruza
holiness sankteco
nectar nektaro
sausage kolbaso
cardboard kartono
cardboard kartona
taxpayer impostpaganto
minerva minervo
condemnation malaprobo
meteorology meteorologio
preach prediki
bonnet kapoto
bonnet kufo
checker kontrolisto
crank kranko
verve vervo
linen tolo
englishman anglo
adultery adulto
uzbek uzbeka
uzbek uzbeko
bacterium bakterio
cloak mantelo
obstruction obstrukcio
sheen brilo
dew roso
sulphur sulfuro
thrace tracio
figurative figura
vulgar vulgara
vulgar triviala
pea pizo
catastrophe katastrofo
weakly malforte
weaken malfortigi
cobalt kobalto
promenade promenejo
knob tenilo
boutique butiko
dough pasto
spectacle spektaklo
abyss abismo
dalmatia dalmacio
ripe matura
spawn frajo
nostalgia nostalgio
slippery glita
ardent arda
impetus instigo
impetus impulso
impetus impeto
impetus stimulo
summon voki
peg aperitivo
stab piki
syrup siropo
streamlined flulinia
lavender lavendo
plank tabulo
unarmed senarma
salamander salamandro
draining drenado
omit preterlasi
glue gluo
glue glui
sacrament sakramento
isolate izoli
provoke provoki
provoke inciti
kremlin kremlo
mysticism mistikismo
modem modemo
plutonium plutonio
argus argo
sweetheart amatino
sweetheart amato
vow voto
vow voti
realist realisto
anomaly anomalio
benign benigna
odin odino
almond migdalo
almond amando
symptom simptomo
rib ripo
rib vergeto
consolation konsolo
creep rampi
boa boao
meuse mozo
cloudy nuba
tortoise testudo
dessert deserto
basalt bazalto
adventurer aventuristo
adventurer aventurulo
carnivorous karnovora
morals moralo
rosary rozario
await atendi
boar virporko
insulted ofendita
flea pulo
invoke alvoki
perfume parfumo
bony osteca
bikini bikino
abolish nuligi
abolish abolicii
abolish aboli
genital genera
circumcision cirkumcido
pelican pelikano
squeeze premi
spade fosi
spade fosilo
spade trafosi
hesitate heziti
calvary kalvario
calvary golgoto
stringent rigora
acorn glano
sturgeon sturgo
larva larvo
embarrassment embaraso
paralysis paralizo
invent eltrovi
invent inventi
invent elpensi
ural uralo
chop haki
abrupt subita
abrupt kruta
abrupt neatendita
abrupt abrupta
abrupt bruska
splinter splito
splinter lignero
sunflower sunfloro
sunflower helianto
hog porko
melon melono
ether etero
ruhr ruro
prometheus prometeo
subsidy subvencio
headache kapdoloro
zoologist zoologo
summons asigno
comb kombilo
comb kombi
luxurious luksa
chlorine kloro
formosa formoso
arthritis artrito
negligence neglektemo
shuffle miksi
selfish egoisma
selfish egoista
childless seninfana
concede koncedi
arsenic arseniko
goblin koboldo
goblin gnomo
overlook preterlasi
uncover malkovri
crawl rampi
latex latekso
styria stirio
broom balailo
broom genisto
gown robo
recapture rekonkeri
clasp agrafo
geographer geografo
geographer geografiisto
wiring drataro
bastion bastiono
pear piro
kibbutz kibuco
exceedingly eksterordinare
kingfisher alciono
kingfisher alcedo
hesitant hezitanta
toast rosti
toast tosto
toast tosti
begging almozpetado
prehistory prahistorio
nicaraguan nikaragva
nicaraguan nikaragvano
fewest malplej
scot skoto
rooster virkoko
stereotype stereotipo
poplar poplo
unimportant negrava
puritan puritana
puritan puritano
reptile reptilio
autopsy sekcado
sadness malgajeco
interrupt interrompi
steppe stepo
sleepy dormema
blond blonda
bantu bantua
err erari
meteorite meteorito
panamanian panama
panamanian panamano
dunkirk dunkerko
riyadh riado
volt volto
sponge spongo
carousel karuselo
micronesia mikronezio
ardennes ardenoj
needless nenecesa
needless senbezona
clique kliko
delicious bongustega
endure elteni
endure suferi
endure toleri
endure elporti
tabernacle tabernaklo
ballast balasto
fireplace kameno
transporter transportisto
stain makuli
courageous sentima
alkaline alkala
acetate acetato
erase gumi
patriotism patriotismo
conclusive konkludiga
pedestal piedestalo
inflated afektita
stalk tigo
stalk trunketo
stalk kulmo
alligator aligatoro
weld veldi
witty sprita
cabbage brasiko
saviour savinto
saviour redemptoro
crippled kripla
hebrides hebridoj
asbestos asbesto
pillow kapkuseno
stitch kudrero
obscene obscena
invincible nevenkebla
excursion ekskurso
frenchman franco
ultimatum ultimato
odor odoro
innate denaska
lucifer satano
lucifer lucifero
starboard tribordo
agitation agito
persuasion persvado
practise ekzerci
epistle epistolo
zenith zenito
hastily haste
shorthand stenografio
shorthand steno
blink palpebrumi
stove forno
rebound resalti
oratory retoriko
babel babilono
babel babelo
distract distri
tropics tropiko
grasshopper akrido
grasshopper lokusto
lyceum liceo
deter fortimigi
dandy dando
enamel emajlo
gallant brava
grease graso
demonic demona
signify signifi
lick leki
robber rabisto
vodka vodko
padre militpastro
asymmetric malsimetria
asymmetric nesimetria
appetite apetito
superfluous superflua
jutland jutlando
enlargement pligrandigo
pyrenees pireneoj
ethos etoso
sober sobra
friesland frislando
volley torento
diminutive malgranda
iodine jodo
astonishing miriga
pumpkin kukurbo
divergent anomalia
cynical cinika
divert distri
divert forkonduki
replying respondado
climber montgrimpanto
climber alpisto
arrivals provizado
arrivals alportado
shorten mallongigi
stubborn obstina
puma pumo
tinker kaldronisto
polka polko
triton tritono
palladium paladio
silhouette silueto
mountaineering alpismo
tapestry tapeto
paving pavimado
hinder malhelpi
hinder malfaciligi
hinder obstrukci
conserve konservi
lobster omaro
lobster langusto
assent jesi
assent jeso
mountaineer montgrimpanto
mountaineer alpisto
byzantium bizanco
helper asistanto
helper helpanto
prosper prosperi
namibian namibia
snowball viburno
cougar pumo
moldavia moldavio
moldavia moldavujo
lullaby lulkanto
skinny magra
romanticism romantiko
psyche psiko
manganese mangano
ecstasy ekstazo
wreath girlando
ruse ruzo
pivot pivoto
pivot pivoti
damp humida
damp humideco
damp malsekeco
forbid malpermesi
allergic alergia
ado bruo
anonymity anonimeco
paranoia paranojo
disapproval malaprobo
bruges brugo
waitress kelnerino
futile vana
miserable malbona
miserable katastrofa
miserable mizera
miserable malgaja
miserable kompatinda
miserable senhava
conscientious konscienca
salomon salomono
fertilizer sterko
hue nuanco
hue kolornuanco
flourish fanfaro
melancholy melankolio
melancholy melankolia
solemn solena
strap rimeno
thigh femuro
barbecue kradrostado
barbecue kradrostilo
debatable kontestebla
jingle tinto
starling sturno
paw piedo
paw kruro
fearful timigita
indra indro
diminish malkreski
yam ignamo
adversary antagonisto
liberian liberia
amur amuro
sloping dekliva
vinegar vinagro
miraculous mirakla
accustomed kutima
calibre kalibro
ravine ravino
ravine montfendo
bleed sangi
sensational sensacia
antibiotic antibiotiko
collide kolizii
collide alveturi
pretext preteksto
condemn kondamni
condemn malaprobi
foreigner fremdulo
foreigner eksterlandano
foreigner alilandano
celsius celsiuso
idiom idiomo
idiom idiotismo
misty nebula
billiards bilardo
envy envio
envy envii
projector projekciilo
ashamed honta
ashamed hontigita
deceptive erariga
tanzanian tanzania
sidewalk trotuaro
removable forprenebla
fable fablo
brute bruta
brute bestio
scooter skutilo
scooter trotilo
shack kabano
shack barako
gecko geko
supervise kontroli
objectionable malaprobinda
pip grajno
grail gralo
scotsman skoto
ossetia osetio
leech hirudo
aeroplane aviadilo
aeroplane aeroplano
midday tagmezo
swine porko
adept adepto
locust akrido
pharmacist farmaciisto
allegory alegorio
andromeda andromedo
mould muldilo
mould modli
mould muldi
vat kuvo
nylon nilono
nylon nilona
parchment pergameno
pudding pudingo
bungalow bangalo
tiberius tiberio
loaf pano
noodles nudelo
waiter kelnero
brothel bordelo
excise akcizo
midget nana
midget nano
bearded barba
rouse stimuli
rouse inciti
rouse sproni
hardness malmoleco
cadre kadro
dowry doto
cultivate kultivi
cultivate kulturi
alder alno
alder alna
spacious vasta
prosecute persekuti
renown distingo
renown famo
renown gloro
renown renomo
renown fameco
sterile sterila
sterile nefruktodona
wrestle lukti
ethic etiko
disperse dispeli
circumference perimetro
circumference cirkonferenco
inspect inspekti
frisian frisa
frisian friso
corinthian korinto
corinthian korinta
playful petolema
allusion aludo
steak bifsteko
validate validigi
dictate dikti
whisper flustri
whisper flustrado
ares areso
chameleon kameleono
analyse analizi
siamese siama
