pergameno parchment
ekzerci exercise
ekzerci practise
uro aurochs
deprimo depression
opio opium
timema afraid
timema timid
stoko stock
karakterizi characterize
violkolora violet
memorinda memorable
pacifisto pacifist
malaperigi liquidate
preferi prefer
arterio artery
cipreso cypres
enorme enormously
atlanto atlantean
barnabaso barnabas
monstra monstrous
makiavelo machiavelli
kelktempe temporarily
stoki stock
vertebraro spine
elpensi invent
premado pressure
albino albino
vinbero grape
lato lath
lato slat
faligo overthrow
faligo subversion
cigano gypsy
cigano gypsy
prognozo forecast
prognozo prognosis
mustardo mustard
esperi hope
juvelisto jeweller
korupteco corruption
protestanto protestant
foja occasional
nenecesa needless
banurbo spa
navigi navigate
kongrui coincide
lavango avalanche
fluida liquid
fluida fluid
ekzekutisto executioner
ekzekutisto hangman
venigi get
reprodukto reproduction
akcesora secondary
akcesora accessory
demetro demeter
dogano customs
bakejo bakery
ilekso holly
prunto loan
plantejo plantation
simpligi simplify
nektaro nectar
kameruna cameroon
laktuko lettuce
alko moose
alko elk
pinglo pin
pinglo needle
malutila harmful
rezervi reserve
asistado help
asistado assistance
korko cork
atakanto attacker
atakanto assailant
atakanto aggressor
alcedo kingfisher
alcedo halcyon
friso frisian
kukurbo squash
kukurbo pumpkin
kukurbo gourd
bezona necessary
kulpulo culprit
singapura singaporean
malavara generous
virtuozo virtuoso
karoserio body
hoko hook
kapsiko chilli
senprokraste immediately
senprokraste instantly
hungarlando hungary
lupolo hop
lupolo hops
lebanono lebanon
eskapo escape
birdaro birds
plastika plastic
rendevuo date
rendevuo appointment
rendevuo rendezvous
stratangulo corner
digna dignified
ironia ironic
librovendisto bookseller
ciklono cyclone
atesti testify
atesti attest
alkoholismo alcoholism
kritikanto judge
izoli isolate
izoli insulate
izoli seclude
burundio burundi
sobra temperate
sobra sober
sobra staid
sobra abstemious
laborema hardworking
malkonstrui demolish
pamfleto pamphlet
citiloj quotes
decidiga decisive
mieno expression
plateno platinum
malfortigi weaken
likvoro liqueur
anekdoto anecdote
krampo bracket
krampo staple
krampo brace
krampo clamp
krampo parenthesis
hebreo hebrew
hebreo jew
tamburisto drummer
urbdomo townhall
figo fig
eluzita worn
forveturo departure
najado naiad
konsolo consolation
milio millet
prokrasti delay
prokrasti postpone
prokrasti procrastinate
penicilino penicillin
pilgrimo pilgrimage
mortero morter
kalumnio scandal
kalumnio slander
kalumnio backbiting
fragmenta fragmentary
bankoko bangkok
asfalto asphalt
nabo hub
nabo nave
anjono anion
ekstazo ecstasy
helpema helpful
helpema accommodating
komforto comfort
prostituado prostitution
bredi keep
bredi rear
bredi raise
bredi breed
severeco severity
severeco rigour
donace gratis
siamo thailand
siamo siam
bushaltejo busstop
infektita infected
infektita contaminated
argono argon
forkuri abscond
gardo guard
meksikia mexican
sparta spartan
apostrofo apostrophe
arestado arrest
arestado detention
arestado apprehension
aromo flavour
aromo aroma
dupunkto colon
administrantaro management
administrantaro administration
pistilo pestle
palumbo pigeon
kromo chromium
malakcepti reject
militema martial
militema warlike
izoliteco separation
izoliteco isolation
plenplena replete
plenplena brimming
minaca threatening
minaca menacing
adhero adhesion
pelto fur
kapoto hood
kapoto bonnet
engluti engulf
aventuristo adventurer
modesto modesty
transvalo transvaal
sprono spur
kaptilo trap
kaptilo snare
ekscitita agitated
hebridoj hebrides
malia malian
konscii realize
konscii realise
peli drive
peli chase
peli shoo
peli impel
bandito bandit
timiga horrible
ambicio ambition
fajrero spark
aluvia alluvial
serenado serenade
flandro flemming
salivo saliva
lidio lydia
spiri breathe
timigi frighten
astmo asthma
konsumanto consumer
ordoni order
ordoni command
ordoni tell
reklami advertise
akvovaporo vapour
bosna bosnian
posttagmezo afternoon
respektinda respectable
kaduka dilapidated
kaduka lapsed
kaduka decayed
kaduka decrepit
kaduka rickety
agrable comfortably
agrable pleasantly
agrable agreeably
kunularo company
simpatia sympathetic
singarda careful
singarda cautious
zorga careful
zorga tender
hipopotamo hippo
hipopotamo hippopotamus
malmultekoste cheaply
steleto asterisk
parigi match
parigi couple
parigi pair
parigi unite
nikaragva nicaraguan
nombri count
steno shorthand
metodista methodist
metoda methodical
pacienco patience
kareno hull
indiferenta indifferent
indiferenta immaterial
bavarujo bavaria
trigonometrio trigonometry
cimo bug
cimo bedbug
perko bass
lako lacquer
fabrikejo factory
vejno vein
advento advent
samario samaria
femuro thigh
moraleco morality
kliko set
kliko clique
kliko coterie
kliko junto
senespera desperate
senespera abysmal
digestado digestion
afganujo afghanistan
rumo rum
stabejo headquarters
mesino messina
monpuno fine
singarde carefully
singarde lightly
singarde gently
vespo wasp
brua noisy
babelo babylon
babelo babel
juglando walnut
felietono serial
sekigi dry
voltao volta
tuniko tunic
ganimedo ganymede
moskito mosquito
anatomiisto anatomist
altrudi force
belfasto belfast
pledo plea
harmoniko harmonica
cinamo cinnamon
vitala vital
deficito deficit
malglata rough
malglata coarse
solano nightshade
veto bet
veto wager
gralo grail
svalbardo spitsbergen
lukso luxury
grapolo cluster
pretendi claim
pretendi presume
koito coition
riski risk
riski venture
riski hazard
prema onerous
prema burdensome
karna carnal
portugalo portuguese
melankolio melancholy
bori bore
bori drill
tumoro tumor
tumoro tumour
infektado infection
infektado contamination
infektado contagion
formuli formulate
rabato discount
rabato rebate
rabato abatement
fojno hay
tabernaklo tabernacle
akvumado watering
ava bird
darmo dharma
bulbo bulb
grego herd
grego flock
ekstermi exterminate
derivi derive
kajuto cabin
korinta corinthian
sulko furrow
sulko wrinkle
lardo bacon
fortepiano pianoforte
subtraho subtraction
stako stack
stako pile
stako heap
parolmaniero speech
agendo agenda
skilo scylla
kontrolisto controller
kontrolisto checker
bagatela insignificant
bagatela trifling
servuto servitude
servuto serfdom
garbo sheaf
volframo tungsten
denunco accusation
helpantino assistant
planti plant
pardoni pardon
pardoni forgive
siama siamese
trinkebla drinkable
seninterrompa continuous
eksporti export
baptejo baptistery
plugilo plough
plugilo plow
kloako sewer
peticio petition
cirkonferenco circumference
povra poor
fosi dig
fosi spade
fosi grub
kurdio kurdistan
dankema thankful
sanigi cure
sanigi remedy
sanigi heal
mallerta awkward
tufo tuft
amuro amur
moruo cod
moruo codfish
rekomenci resume
minaci threaten
minaci menace
amatoro amateur
amatoro fancier
distribui distribute
absorbo absorption
uganda ugandan
fabo bean
kvalifiko ability
kvalifiko qualification
torso trunk
kleo clef
humila humble
gemo jewel
gemo gem
dentrado gear
dentrado cogwheel
plirapidigi accelerate
guldeno gulden
guldeno guilder
parcelo lot
parcelo parcel
korespondi correspond
filiko fern
posteularo offspring
maltrankvila anxious
interparolado conversation
ekskomuniko ban
ekskomuniko excommunication
ekskomuniko anathema
sinkrona synchronous
kana cane
elizeo elysium
agavo agave
balia balinese
estingi extinguish
gubernatoro governor
mallongigi shorten
mallongigi abbreviate
mallongigi abridge
skeptika skeptical
trifolio shamrock
trifolio clover
aligatoro alligator
lagro bearing
cimbalo cymbal
programi program
programi programme
tuno ton
aristokratio aristocracy
patrolo patrol
akcio share
salvio sage
kobalto cobalt
banala commonplace
banala dismal
banala trite
dafno daphne
retiri withdraw
aroma aromatic
aroma fragrant
aroma nutty
remi row
uliso ulysses
citro zither
bordero border
malvarmeta cool
kaosa chaotic
dosierujo folder
koreo korean
negoci trade
negoci negotiate
sentenco maxim
sentenco proverb
rusta rusty
sifiliso syphilis
litro litre
litro liter
ekzotika exotic
bulgarujo bulgaria
prelegi lecture
atenta attentive
centimetro centimeter
centimetro centimetre
demokrato democrat
vergo switch
vergo rod
vergo wand
iniciati start
iniciati initiate
konsentite agreed
konsentite ok
konsentite okay
larvo larva
larvo grub
eriso eris
kasedo cassette
olivo olive
dekoro decoration
dekoro decor
adulto adultery
dubi doubt
tributo tribute
fasti fast
sceptro sceptre
brulligno firewood
fragmito reed
vundi hurt
vundi wound
kontrabando contraband
galinolo moorhen
koreujo korea
gramo gram
gramo gramme
perlabori earn
branko gill
mezozoiko mesozoic
asistantino assistant
elspezi spend
insisto pressure
insisto insistence
insisto urgency
bitoko byte
parfumo perfume
melodramo melodrama
apogilo support
apogilo prop
descendo descent
karitata charitable
konsili counsel
konsili advise
apelacio appeal
epopea epic
izoleco separation
izoleco isolation
pensio retirement
pensio pension
konateco acquaintance
konateco familiarity
konateco conversance
antikristo antichrist
ulmo elm
laringo larynx
tempio temple
lavejo washroom
triste sadly
magra thin
magra lean
magra skinny
magra gaunt
magra meager
magra skimpy
terni sneeze
nepartia neutral
optimismo optimism
samlandano compatriot
trankviligi still
trankviligi quiet
trankviligi calm
trankviligi appease
trankviligi soothe
tinuso tuna
tinuso tunny
armoriko armorica
pordisto porter
idiomo idiom
malsekeco damp
riska hazardous
riska risky
kapitulaci surrender
kapitulaci capitulate
ramadano ramadan
loterio lottery
loterio raffle
nenormala abnormal
dentaro teeth
bito bit
bohemujo bohemia
absorbi absorb
stevardo steward
stevardo attendant
kaprica capricious
kaprica fitful
proksimulo neighbour
globeto marble
globeto corpuscle
oblo multiple
plendi complain
pluki pick
pluki pluck
revizoro auditor
modernigi modernize
soifo thirst
leporhundo greyhound
regajni regain
egoismo selfishness
proteo proteus
interpunkcio punctuation
interpunkcio interpunction
ruboj rubbish
materhorno matterhorn
dommastrino housewife
ataka offensive
ataka aggressive
kotizo subscription
kotizo dues
preterpasi overtake
hanibalo hannibal
munti link
munti mount
munti assemble
trilo trill
dominio dominion
mozambika mozambican
meteorologio meteorology
korbopilko basketball
monotona monotonous
saluti salute
saluti greet
vandalo vandal
flegisto nurse
solulo single
ungo nail
nubia nubian
arsenalo arsenal
arsenalo armoury
ekscesa excessive
ekscesa inordinate
everesto everist
atleta athletic
konsulejo consulate
rajdi ride
krabo crab
