lagerung storage
invasion invasion
ursprünglichen original
gelben yellow
efficient efficient
digitalen digital
kleinsten lowest
neuartige novel
rettung rescue
prior prior
infrastruktur infrastructure
guys guys
juristischen legal
vormund tutor
erfüllt met
nationaler national
schwachen weak
wirksame effective
sicherheit security
feiern celebrate
visuellen visual
jahrhundert century
vorteile advantages
schicht layer
pflegekräfte carers
aufrechterhaltung maintenance
schwierigen difficult
motor motor
einflussreicher influential
internet internet
letztlich ultimately
naval naval
bald soon
gesamten entire
dunkle dark
special special
reisen travel
popular popular
produzenten producers
trotz despite
märkten markets
behandlungsmethoden treatments
hintere rear
region region
isle isle
kreis circle
bundeskanzlerin chancellor
schlacht battle
record record
technik technology
adulten adult
beginnen begin
kreises circle
anweisungen instructions
wettbewerbsfähige competitive
grey grey
football football
probleme problems
gay gay
falsch wrong
vorschriften regulations
beeindruckenden impressive
poesie poetry
gebaut built
lehrplan curriculum
guten good
signale signals
süß sweet
aufmerksam carefully
flexibel flexible
rose rose
battle battle
bewaffneten armed
post post
typische typical
kapitän captain
bischof bishop
heizung heating
meisterschaft championship
verordnung regulation
review review
ausführungsgesetz organic
academy academy
emissionen emissions
normale normal
sieben seven
abend evening
hold hold
progress progress
wettlauf race
fliegen flying
pro per
wählen choose
kanada canada
progressiven progressive
falsche wrong
sitzungsperiode session
rom rome
instituts institute
lebendig alive
attraktiv attractive
einzelhandel retail
eier eggs
besuchen visit
kurzen brief
gemälde paintings
wichtigen important
zunehmend increasingly
warten wait
henry henry
wurzeln roots
card card
juden jews
seite side
große great
weltweit worldwide
regionen regions
versorgung care
erfolgreichen successful
empfehlen recommend
eigenschaften characteristics
informationen information
szenen scenes
niederländische dutch
getestet tested
lesern readers
august august
jersey jersey
verkaufen selling
zahlung payment
intelligenten intelligent
größten greatest
pferden horses
anteil proportion
relativen relative
gezahlt paid
zurück back
saint saint
kodizes codes
ihre your
lärm noise
wettbewerbs competition
sauberen clean
akteuren players
statistischer statistical
begrenzen limit
öffnet opens
anthony anthony
mike mike
zugänglich accessible
geblieben remained
sagt says
verbessern improve
fahrzeuge vehicles
echte real
hauses house
fünftel fifth
römischen rome
erwachsenen adults
inspektion inspection
hitze heat
geben give
blinden blind
tragen bear
vereinbarung agreement
bürgerliche civil
befürworter supporters
jonathan jonathan
wissenschaftlichen scientific
brand fire
studie study
batterie battery
beihilfen aid
standort location
milk milk
ethische ethical
kreuzfahrt cruise
existiert exists
dan dan
investoren investors
ihrer their
abgestuften graduated
meinungsäußerung expression
ausgebildet educated
geliebt loved
bewirtschaftung management
ausrüstungen equipment
verbreitung spread
verträge contracts
einbau installation
good good
einwohnern inhabitants
science science
reis rice
patente driving
ziele targets
vermissen miss
allgemein generally
bezirk district
fotos photographs
revolutionären revolutionary
eher rather
ursprüngliche original
pennsylvania pennsylvania
jungen boy
logo logo
project project
kann can
ring ring
wettbewerbsfähig competitive
protokollieren log
ergriffen taken
popularität popularity
microsoft microsoft
set set
künstlers artist
masse mass
amt office
end end
diskriminierung discrimination
bewusstsein awareness
parlament parliament
überarbeitet revised
parlamentarischen parliamentary
water water
gespalten divided
falsche false
früchte fruit
west midlands
zwanzig twenty
maße extent
user user
heiße hot
bilder pictures
hügel hills
verhaltenskodizes codes
jahrtausends millennium
apple apple
biologische biological
später later
gewählt chosen
seine its
grundsatz principle
ursprünglich originally
tage days
augen eyes
zerstört destroyed
wärme heat
besuchte visited
unabhängige independent
zeitschrift journal
anlagen facilities
banking banking
strukturelle structural
thomas thomas
großstädtischen metropolitan
weißen white
davies davies
beschlüsse decisions
ordnungspolitischen regulatory
administrator administrator
vermächtnis legacy
lokale local
liste list
angelegenheit matter
steigenden rising
fotografien photographs
alter age
föderale federal
investment investment
informelle informal
klassische classic
kapitals capital
gleichstellung equality
gentechnik engineering
parlaments parliament
gefängnis prison
accounting accounting
operators operators
kritikern critics
gespräche talks
kandidaten candidates
society society
erhebung collection
rail rail
besitzer owner
boards boards
jahrhunderte centuries
begann began
überwachen monitor
tunnel tunnel
jahrhunderten centuries
offene open
profil profile
stadion stadium
texte texts
verleger publishers
vision vision
intelligence intelligence
flügel wings
völlig completely
artgerechte animal
überzeugt convinced
ändern change
brot bread
angel angel
filme films
reihe number
industries industries
fleisch meat
low low
raum space
broadcasting broadcasting
tourismus tourism
genauigkeit accuracy
christlichen christian
pazifischen pacific
muslimen muslims
dokumenten documents
format format
element element
stattdessen instead
administrativen administrative
verbieten ban
mitteilung communication
lösung solution
informed informed
baby baby
exchange exchange
lernenden learners
virus virus
abschluss conclusion
zimmern rooms
testament testament
thema subject
tasche pocket
guardian guardian
steinen stones
schüler pupils
kopf head
verlängerung extension
interesse interests
emotionalen emotional
geboren born
gas gas
bürger citizens
insel island
gestrichen removed
resources resources
bände volumes
glaubt believes
schwere heavy
heiligen saint
schulden debt
entscheiden decide
gezeigt shown
beratung advice
zusätzlichen additional
formalen formal
japanischen japanese
lake lake
archive archives
über over
vorbereitet prepared
wildlebenden wild
modernen modern
erreicht achieved
experten experts
cent cent
saatgut seeds
ausgeweitet extended
eingliederung inclusion
nationalbibliothek library
journalist journalist
leitlinien guidelines
verletzten injured
urlaub holiday
unfalls accident
ermöglichen enable
bevorstehenden forthcoming
innovation innovation
kategorien categories
tom tom
öffentlichkeit public
freizügigkeit movement
massiven massive
dienststellen departments
leichter easier
ehemalige former
leicht easy
faktor factor
trikots jersey
nachhaltigen sustainable
vorübergehenden temporary
kohle coal
said said
dramatisch dramatic
flüssigen liquid
opfer victims
gastgeber hosts
schule school
kommunistische communist
ereignisse events
flower flower
standards standards
vergangenen last
board board
aktualisieren update
blöcke blocks
suchen seek
größte greatest
legende legend
version version
umweltverschmutzung pollution
gesetzgebung legislation
kommerzielle commercial
exekutive executive
rubrik category
projekts project
verwalter managers
tausenden thousands
diabetes diabetes
imperium empire
unterirdischen underground
einzelheiten details
dynamische dynamic
geschichten stories
laufenden ongoing
billigen cheap
beziehungen relationship
russische russian
geleistet done
bestimmungen provisions
kapitel chapter
kanadische canadian
fitness fitness
dieser these
trips trips
angewandt applied
konvention convention
meinungen opinions
akteuren actors
planung planning
aus from
spielen play
unternehmens company
netzwerke networks
erwachsene adults
potenziell potentially
wahlen elections
gekämpft fought
anwendungsbereich scope
staates state
existenz existence
norden north
millennium millennium
lateinische latin
fortschritte progress
fuchs fox
kreuzes cross
abstrakten abstract
interaktiven interactive
wohltätigkeit charity
schönen beautiful
lawrence lawrence
chicago chicago
beweis proof
entwickelt developed
jahrzehnts decade
jährlichen annual
tages day
rahmen framework
räumlichkeiten premises
details details
exzellenz excellence
leicester leicester
berichtet reported
verwaltung management
jean jean
hintergrund background
zahlreiche numerous
spiel game
nahezu almost
national national
definitiv definitely
labor laboratory
rote red
energiequellen sources
streik strike
studio studio
kanals canal
ideal ideal
nie never
singapur singapore
rasche rapid
leiden suffering
ansatz approach
sektors sector
frühen early
satellitennavigation navigation
abgelegenen remote
sprechen talk
kulturen cultures
rechtlichen legal
tickets tickets
allianz alliance
finanziellen financial
turm tower
ältere elderly
zweiten second
füßen feet
ausbreitung spread
länger longer
leeds leeds
stuhl see
ausreichend sufficient
profit profit
ländlichen rural
club club
amerikanern americans
studien studies
zwangsläufig necessarily
tatsache fact
geändertes revised
speicherung storage
antiken ancient
einfachen simple
weiß white
wirtschaftlichen economic
double double
begleitet accompanied
police police
mechanische mechanical
exposition exposure
verbindungen links
street street
punkte points
hoffentlich hopefully
maria maria
charakter character
unmittelbar immediately
gehört heard
erwerb acquisition
sowjetische soviet
elemente elements
rundfunk broadcasting
bob bob
schlafzimmer bedroom
niedrig low
spielen games
präsident president
vorgelegt presented
stadtrat councillor
spiegelt reflects
bild image
qualifikation qualifications
behörden authorities
ford ford
chemical chemical
optionen options
bibliothek library
während while
inspiration inspiration
firmen firms
verringerung reduction
abfolge sequence
vertrag treaty
variablen variables
preis price
assistent assistant
allmählich gradually
shape shape
rad wheel
wars wars
catch catch
westlichen western
besondere special
gefährlich dangerous
zehn ten
oberste supreme
rechte rights
john john
kommunizieren communicate
hoffnungen hopes
impossible impossible
tode death
front front
darbietungen performances
zoll customs
häufig often
commonwealth commonwealth
monsignore bishop
intelligentes smart
karriere career
eiserne iron
hilfe aid
unterstützt supports
fachwissen expertise
menschenrechte rights
terrorismus terrorism
light light
projekt project
religion religion
grace grace
weiblichen female
vorangegangenen previous
gleichgewicht balance
schwester sister
vorsichtig careful
vernichtung destruction
post mail
korea korea
abhängen depend
konkurrieren compete
griechenland greece
geschwindigkeit speed
mehr more
landes country
children children
building building
feind enemy
konservative conservative
wert worth
wollen want
charta charter
assessment assessment
nichts nothing
detail detail
beseitigen remove
ausführlicher reports
natural natural
über about
schlussfolgerungen conclusions
tribunal tribunal
redaktionelle editorial
mysterium mystery
beschwerden complaints
variabler variable
départements departments
paare couples
virgin virgin
implementation implementation
sieger winner
testaments testament
data data
allmende commons
volumen volume
antworten answers
imperiale imperial
normen standards
expedition expedition
arzt doctor
wachsen grow
geheimnis secret
kreativen creative
verweigert refused
lehre lesson
knochen bone
protest protest
dokumentarfilm documentary
getrennt separated
bild picture
absolventen graduates
experimente experiments
geld money
argumenten arguments
öffentliche public
internets internet
füllen fill
erkennen recognise
leider unfortunately
dichte density
ecke corner
fehler error
herunterladen download
abwesenheit absence
kontrollen controls
fakultative reverse
ernährungsweise diet
wirksam effectively
geschenk gift
statistik statistics
russell russell
freiwilligen volunteers
trinken drinking
kindheit childhood
beide both
defense defense
reaktionen responses
hilfe help
tisch table
karten cards
kontrolle control
brillanten brilliant
heiliger saint
ruf reputation
sozialistischen socialist
noch still
prämissen premises
sonne sun
appellieren appeal
praktiker practitioners
gewährleisten guarantee
spanien spain
infrastrukturen infrastructure
unterschied distinction
gelten apply
futtermitteln feed
gedruckt printed
klassen classes
wohltätigkeitsorganisationen charities
interaktive interactive
anzeichen signs
gärten gardens
schäden damage
schlechten bad
walisischen welsh
statt instead
sofort immediately
merkmale characteristics
equipment equipment
medizin medicine
held hero
real real
verhandlungen negotiations
militärische military
verantwortung responsibility
organisierten organised
kontroverse controversy
stein stone
headquarters headquarters
foto photo
müssen must
nun now
präsidentin president
einzigartigen unique
gesundes healthy
österreich austria
jahren years
konkrete specific
bucht bay
verklagen sue
instanz instance
mechanismen mechanisms
teure expensive
vorsitzenden chairman
patienten patients
berufliche professional
tag day
erörtert discussed
weniger less
hersteller manufacturers
mischung mix
viele many
daniel daniel
prüfen examine
rugby rugby
ursprünglich initially
überschreiten crossing
erinnerungen memories
gewicht weight
lords lords
täglichen everyday
dunklen dark
geschätzt estimated
sitz headquarters
unterkunft accommodation
befehlshaber commander
fahrer driver
haltung attitude
niedrigen low
demokratischen reform
tiere animals
gen gene
biografien biography
rettet save
mar mar
antworten replies
großen major
bars bars
verwendet used
ferien holidays
fenster window
reise journey
eiweiß protein
target target
landung landing
schwach weak
sack bag
irgendwo somewhere
falschen false
hoffe hope
intelligente smart
satz phrase
folge consequence
zucht breeding
ministeriums ministry
abkommens agreement
globale global
ann ann
beziehung relationship
bietet provides
demokratischen democratic
emergency emergency
peter peter
wünschen wish
linke left
beer beer
ankunft arrival
präsidiums bureau
zitieren quote
act act
antrag request
unserer our
wind wind
eröffnet opened
ständigen standing
behandelt treated
alternativ alternatively
autos cars
klippen rocks
überlebt survived
safety safety
westliche western
gewählt elected
italienischen italian
archiv archive
profite profits
twin twin
theorie theory
listen lists
schaffung create
gefühle feelings
höhere higher
erfahrungen experience
entscheidend crucial
brief letter
umfang extent
war was
mission mission
religionsausübung worship
morgan morgan
gerichtshof court
james james
küste coast
vertreten represented
sehr very
zurückgekehrt returned
universums universe
gefüllt filled
non non
dns dna
bergbau mining
game game
fenster windows
gebracht brought
stimmen vote
christentum christianity
bündnis alliance
auge eye
potenzial potential
akteure players
verfolgen pursue
dialogs dialogue
reaktion response
häuser houses
prozentsatz percentage
stellen posts
persönliche personal
luftraums sky
woche week
gott god
sünde sin
geschaffen created
bildschirm screen
bestimmen determine
cricket cricket
anleger investors
instrument tool
read read
messung measurement
bildung education
abdeckung coverage
unverzüglich immediately
irgendwo anywhere
anwendungen applications
etikett label
verfassern authors
interaktiver interactive
einzigen single
bericht report
kulturelle cultural
erzeugnisse products
kaum hardly
reichen rich
komponenten components
legislativen legislative
licht light
kandidat candidate
religiöser religious
installiert installed
tanzen dance
entdeckt discovered
golf gulf
geschmack taste
registrierung registration
son son
schottischen scottish
bekämpfung combat
entsprechenden relevant
kasino casino
volkszählung census
innere internal
angewendet applied
organ body
kosten costs
deutschland germany
cards cards
städtischen urban
einigen some
sitzen sit
verantwortlich responsible
kinder children
unbedingt necessarily
variable variable
sondern but
seite hand
schlimmsten worst
betrag sum
wirtschaftliche economic
föderalen federal
plus plus
erklärung statement
standpunkt position
aktualisierungen updates
division division
männer men
ursprünglichen initial
gegenteil opposite
veröffentlicht published
häftlinge prisoners
klassisches classic
operationen operations
erwarten expect
labour labour
erhöhen increase
abschnitt section
erfassung collection
erdöl oil
räten councils
studies studies
zusammenhang context
see sea
jährliche annual
vergeben awarded
ermutigen encourage
wird will
orchester orchestra
richters judge
unabhängig regardless
bücher books
netz network
behinderten disabled
frohes happy
erklärt declared
place place
einrichtungen facilities
urteil judgment
hochzeit wedding
vorzubereiten prepare
täglich daily
katze cat
kreuz cross
hinterlegung deposit
jungen young
vereinigten united
plan plan
fehler errors
finden find
vorträge lectures
unterscheidung distinction
üblichen usual
museums museum
verkauf sale
enforcement enforcement
ehemals formerly
hochschulabsolventen graduates
flagge flag
funktionieren operation
gekauft purchased
gefährliche dangerous
flut flood
bewegungen movements
vierte fourth
assistentin assistant
zufrieden happy
reduziert reduced
gesprochen spoken
arms arms
crime crime
gesunden healthy
verleihung award
freie free
beschädigt damaged
besatzung occupation
award award
terry terry
nachbarschaft neighbourhood
jemals ever
einstellungen attitudes
patient patient
finanzieren finance
miller miller
beschreibung description
forderung call
cost cost
brücke bridge
freizeit leisure
garden garden
offen open
wieder once
dynamik dynamic
wohnraum housing
organe bodies
städte cities
besonders particularly
ausgebildete trained
interessanten interesting
reporting reporting
überqueren cross
stahl steel
workshop workshop
sichere safe
frage issue
fishing fishing
eines one
titeln titles
schlafen sleep
tanz dancing
roy roy
kette chain
dokumente documents
irland ireland
psychologie psychology
künstler artists
gesellschaft society
union union
übergang transition
verabschiedung adoption
große large
acht eight
ethischen ethical
überzeugungen beliefs
betrag amount
fenstern windows
gerät device
camino way
wüste desert
stichproben samples
personen persons
konservativen conservative
sechs six
vertretung representation
wünschen wishes
richtern judges
tatsächlichen actual
mix mix
artikel article
watch watch
krone crown
blinde blind
statistiken statistics
künstlern artists
bedeuten mean
systeme systems
seven seven
jerusalem jerusalem
beweise evidence
nuklearen nuclear
nation nation
numbers numbers
untersuchungen studies
products products
talent talent
hunden dogs
kommandeur commander
hong hong
statistische statistical
race race
infektion infection
niederländischen dutch
gelesen read
richtungen directions
autonomiebehörde authority
komponente component
index index
foster foster
möglichkeiten opportunities
sugar sugar
futtermittel feed
ihrem her
regierungen governments
far far
tropical tropical
verlässliche reliable
wiederholten repeated
interessant interesting
alltäglichen everyday
samuel samuel
schmerz pain
stellvertretenden deputy
stellungnahme opinion
trost comfort
voll fully
zwischenfall incident
tony tony
proben samples
agenten agents
archäologie archaeology
anwenden apply
angrenzenden adjacent
mädchen girls
einführen introduce
engels saint
sexueller sexual
geheimen secret
mechanischen mechanical
grad degree
klasse class
größeren wider
hinweise references
anerkannt recognised
rußland russia
abteilung department
teilung division
waren goods
rechtsakt piece
posten posts
roman novel
klingelzeichen bell
ländern countries
sportarten sports
entlegenen remote
veterinärmedizinischen veterinary
zeitungen newspapers
zufrieden satisfied
moment moment
sommerspiele summer
geschäftsführenden managing
erde earth
geeigneten suitable
wahrheit truth
religionsfreiheit religion
wünsche wish
genauen exact
gebühren charges
vor before
gedenkstätte memorial
focus focus
kleine small
kritisch critical
farm farm
verzögerung delay
aber however
erschossen shot
verfahrens procedure
nützliche useful
reparatur repair
jüngeren younger
hiv hiv
made made
sexuelle sexual
food food
ursachen causes
betroffenen affected
händen hands
sturm storm
verluste losses
bestandteile components
sparen save
strategische strategic
gewählten elected
elektronischen electronic
luft air
förderung promotion
führt leads
zusammenfassung summary
könnte could
getrieben driven
malerei painting
schlecht badly
vögel birds
haushalt budget
ruhestand retirement
karte card
stone stone
infektionen infection
gedicht poem
zusätzliche extra
blume flower
unterstützt supported
verpflegung meals
verbindungen connections
zwei two
nächte nights
sitzung meeting
musiker musicians
demografie demographics
arabischen arab
blogs blog
rock rock
library library
margaret margaret
besetzten occupied
kommen come
weshalb why
mal time
angebrochen age
schifffahrt navigation
angenehme pleasant
georgien georgia
shakespeare shakespeare
sorge concern
kommandanten commander
ihrer your
dominiert dominated
weibliche female
ikt ict
seltenen rare
schnellen rapid
umfasst covers
check check
werbung advertising
bedingungen conditions
beiden two
übertragung transmission
rede speech
betrug fraud
ten ten
drittel third
landwirtschaftlichen agricultural
leader leader
rekorde records
lieben love
bezahlt paid
aktivität activity
quellen sources
estate estate
tests testing
saurem acid
mobile mobile
beziehungen relations
behalten retain
gelegentlich occasionally
hinzufügen add
prüfungen trials
surrey surrey
themse thames
kunststoff plastic
verletzungen injuries
schnell soon
jüdischen jewish
aufenthalt residence
einreise entry
verbesserungen improvements
ihn him
krediten credit
assigned assigned
gebeten asked
plötzlich suddenly
kolonne column
apfel apple
gremien bodies
widerspiegeln reflect
programming programming
erholung recovery
letztendlich ultimately
new new
größe size
dienst service
betroffen affected
bus bus
wells wells
gefühl feeling
